date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:09:33	1089/1089	---M--	200	added ('OK')	image/svg+xml	etag:%22441-607431019266b%22	https://themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/bcbc.svg	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/bcbc.svg	(from https://themesbrand.com/velzon/html/default/apps-crypto-ico.html)
09:09:33	1311/1311	---M--	200	added ('OK')	image/svg+xml	etag:%2251f-607431019266b%22	https://themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/bix.svg	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/bix.svg	(from https://themesbrand.com/velzon/html/default/apps-crypto-ico.html)
09:09:34	798/798	---M--	200	added ('OK')	image/svg+xml	etag:%2231e-60743101945ab%22	https://themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/rise.svg	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/rise.svg	(from https://themesbrand.com/velzon/html/default/apps-crypto-ico.html)
09:09:34	322/322	---M--	200	added ('OK')	image/svg+xml	etag:%22142-607431019266b%22	https://themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/ark.svg	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/ark.svg	(from https://themesbrand.com/velzon/html/default/apps-crypto-ico.html)
09:09:35	66543/66543	---M--	200	added ('OK')	image/png	etag:%22103ef-60743101964eb%22	https://themesbrand.com/velzon/html/default/assets/images/verification-img.png	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/verification-img.png	(from https://themesbrand.com/velzon/html/default/apps-crypto-kyc.html)
09:09:35	1783/1783	---M-Z	200	added ('OK')	application/javascript	etag:%226f7-607431019748b-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/crypto-kyc.init.js	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/js/pages/crypto-kyc.init.js	(from https://themesbrand.com/velzon/html/default/apps-crypto-kyc.html)
09:09:35	47965/47965	---M-Z	200	added ('OK')	application/javascript	etag:%22bb5d-607431019842b-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/invoiceslist.init.js	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/js/pages/invoiceslist.init.js	(from https://themesbrand.com/velzon/html/default/apps-invoices-list.html)
09:09:36	5204/5204	---M-Z	200	added ('OK')	application/javascript	etag:%221454-607431019842b-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/invoicedetails.js	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/js/pages/invoicedetails.js	(from https://themesbrand.com/velzon/html/default/apps-invoices-details.html)
09:09:36	13758/13758	---M-Z	200	added ('OK')	application/javascript	etag:%2235be-607431019842b-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/invoicecreate.init.js	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/js/pages/invoicecreate.init.js	(from https://themesbrand.com/velzon/html/default/apps-invoices-create.html)
09:09:37	13621/13621	---M-Z	200	added ('OK')	application/javascript	etag:%223535-607431019a36b-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/ticketlist.init.js	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/js/pages/ticketlist.init.js	(from https://themesbrand.com/velzon/html/default/apps-tickets-list.html)
09:09:37	1939/1939	---M-Z	200	added ('OK')	application/javascript	etag:%22793-607431019a36b-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/ticketdetail.init.js	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/js/pages/ticketdetail.init.js	(from https://themesbrand.com/velzon/html/default/apps-tickets-details.html)
09:09:37	28524/28524	---M--	200	added ('OK')	image/png	etag:%226f6c-607431018d84b%22	https://themesbrand.com/velzon/html/default/assets/images/nft/bg-pattern.png	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/nft/bg-pattern.png	(from https://themesbrand.com/velzon/html/default/apps-nft-marketplace.html)
09:09:38	7033/7033	---M-Z	200	added ('OK')	application/javascript	etag:%221b79-607431019748b-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/apps-nft-explore.init.js	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/js/pages/apps-nft-explore.init.js	(from https://themesbrand.com/velzon/html/default/apps-nft-explore.html)
09:09:38	2555/2555	---M-Z	200	added ('OK')	application/javascript	etag:%229fb-607431019748b-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/apps-nft-auction.init.js	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/js/pages/apps-nft-auction.init.js	(from https://themesbrand.com/velzon/html/default/apps-nft-auction.html)
09:09:38	2555/2555	---M-Z	200	added ('OK')	application/javascript	etag:%229fb-607431019748b-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/apps-nft-item-details.init.js	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/js/pages/apps-nft-item-details.init.js	(from https://themesbrand.com/velzon/html/default/apps-nft-item-details.html)
09:09:39	2055/2055	---M-Z	200	added ('OK')	application/javascript	etag:%22807-607431019748b-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/apps-nft-ranking.init.js	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/js/pages/apps-nft-ranking.init.js	(from https://themesbrand.com/velzon/html/default/apps-nft-ranking.html)
09:09:40	28124/28124	---M--	200	added ('OK')	image/png	etag:%226ddc-607431018e7eb%22	https://themesbrand.com/velzon/html/default/assets/images/nft/wallet/metamask.png	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/nft/wallet/metamask.png	(from https://themesbrand.com/velzon/html/default/apps-nft-wallet.html)
09:09:40	11919/11919	---M--	200	added ('OK')	image/png	etag:%222e8f-607431018e7eb%22	https://themesbrand.com/velzon/html/default/assets/images/nft/wallet/coinbase.png	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/nft/wallet/coinbase.png	(from https://themesbrand.com/velzon/html/default/apps-nft-wallet.html)
09:09:40	3444/3444	---M--	200	added ('OK')	image/png	etag:%22d74-607431018e7eb%22	https://themesbrand.com/velzon/html/default/assets/images/nft/wallet/kukai.png	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/nft/wallet/kukai.png	(from https://themesbrand.com/velzon/html/default/apps-nft-wallet.html)
09:09:40	16509/16509	---M--	200	added ('OK')	image/png	etag:%22407d-607431018e7eb%22	https://themesbrand.com/velzon/html/default/assets/images/nft/wallet/binance.png	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/nft/wallet/binance.png	(from https://themesbrand.com/velzon/html/default/apps-nft-wallet.html)
09:09:40	13421/13421	---M--	200	added ('OK')	image/png	etag:%22346d-607431018e7eb%22	https://themesbrand.com/velzon/html/default/assets/images/nft/wallet/enjin.png	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/nft/wallet/enjin.png	(from https://themesbrand.com/velzon/html/default/apps-nft-wallet.html)
